Drone_ID,Time,X,Y,Z,Algorithm
1.0,0.0,-3.0,-2.25,9.0,Simple_A_Star
1.0,0.5,-3.0,-2.25,10.5,Simple_A_Star
1.0,1.0,-3.0,-2.25,12.0,Simple_A_Star
1.0,1.5,-3.0,-2.25,13.5,Simple_A_Star
1.0,2.0,-3.0,-2.25,15.0,Simple_A_Star
1.0,2.5,-3.0,-2.25,16.5,Simple_A_Star
1.0,3.0,-3.0,-2.25,18.0,Simple_A_Star
1.0,3.5,-3.0,-2.25,19.5,Simple_A_Star
1.0,4.0,-3.0,-2.25,21.0,Simple_A_Star
1.0,4.5,-3.0,-2.25,22.5,Simple_A_Star
1.0,5.0,-3.0,-2.25,24.0,Simple_A_Star
1.0,5.5,-3.0,-2.25,25.5,Simple_A_Star
1.0,6.0,-3.0,-2.25,27.0,Simple_A_Star
1.0,6.5,-3.0,-2.25,28.5,Simple_A_Star
1.0,7.0,-3.0,-2.25,30.0,Simple_A_Star
1.0,7.5,-3.0,-2.25,31.5,Simple_A_Star
1.0,8.0,-3.0,-2.25,33.0,Simple_A_Star
1.0,8.5,-3.0,-2.25,34.5,Simple_A_Star
1.0,9.0,-3.0,-2.25,36.0,Simple_A_Star
1.0,9.5,-1.5,-2.25,36.0,Simple_A_Star
1.0,11.0,0.0,-2.25,36.0,Simple_A_Star
1.0,11.5,0.0,-2.25,36.0,Simple_A_Star
1.0,12.0,0.0,-2.25,36.0,Simple_A_Star
1.0,12.5,0.0,-2.25,36.0,Simple_A_Star
1.0,13.0,0.0,-2.25,36.0,Simple_A_Star
1.0,13.5,0.0,-2.25,36.0,Simple_A_Star
1.0,14.0,0.0,-2.25,36.0,Simple_A_Star
1.0,14.5,0.0,-2.25,36.0,Simple_A_Star
1.0,15.0,0.0,-2.25,36.0,Simple_A_Star
1.0,15.5,0.0,-2.25,36.0,Simple_A_Star
1.0,16.0,0.0,-2.25,36.0,Simple_A_Star
2.0,0.0,-3.0,-2.25,9.0,Simple_A_Star
2.0,0.5,-3.0,-2.25,10.5,Simple_A_Star
2.0,1.0,-3.0,-2.25,12.0,Simple_A_Star
2.0,1.5,-3.0,-2.25,13.5,Simple_A_Star
2.0,2.0,-3.0,-2.25,15.0,Simple_A_Star
2.0,2.5,-3.0,-2.25,16.5,Simple_A_Star
2.0,3.0,-3.0,-2.25,18.0,Simple_A_Star
2.0,3.5,-3.0,-2.25,19.5,Simple_A_Star
2.0,4.0,-3.0,-2.25,21.0,Simple_A_Star
